LECA_id;Site;Parcelle;Echantillon;Repet;Couples;Trt;nb_edge;nb_node;density;brown_sources;light_sources;bact_sources;fung_sources;brown_green_ratio;brownsum;greensum;bacteria_fungi_ratio;bactsum;fungsum;observation_id
BISE13_b;Mons;T4;1;2;A-;-;2614;396;0,016711418;254;32;225;20;16,2962963;3520;216;28,24166667;3389;120;BISE13_b
BISE13_c;Mons;T4;1;3;A-;-;3059;398;0,019360024;261;28;224;25;29,94512195;4911;164;26,98285714;4722;175;BISE13_c
BISE13_d;Mons;T4;1;4;A-;-;3006;400;0,018834586;257;40;227;19;19,15047022;6109;319;31,1;5909;190;BISE13_d
BISE14_a;Mons;T4;2;1;A-;-;2650;360;0,020504488;234;29;205;20;21,27777778;3830;180;37,02;3702;100;BISE14_a
BISE14_b;Mons;T4;2;2;A-;-;3537;384;0,024049445;252;28;220;20;28,01169591;4790;171;38,6;4632;120;BISE14_b
BISE14_c;Mons;T4;2;3;A-;-;2210;376;0,015673759;256;30;225;18;20,43708609;3086;151;27,22222222;2940;108;BISE14_c
BISE14_d;Mons;T4;2;4;A-;-;2795;371;0,020361332;240;27;214;18;36,94262295;4507;122;29,84722222;4298;144;BISE14_d
BISE15_a;Mons;T4;3;1;A-;-;3294;399;0,020742812;260;33;232;17;22,7961165;4696;206;26,07058824;4432;170;BISE15_a
BISE15_b;Mons;T4;3;2;A-;-;3242;422;0,018248134;274;36;244;22;27,87027027;5156;185;22,26363636;4898;220;BISE15_b
BISE15_c;Mons;T4;3;3;A-;-;2823;394;0,018231488;254;33;223;20;19,18918919;4970;259;26,15;4707;180;BISE15_c
BISE15_d;Mons;T4;3;4;A-;-;3395;401;0,021165835;265;33;231;22;31,24590164;5718;183;19,53479853;5333;273;BISE15_d
BISE16_a;Mons;T4;4;1;A-;-;3417;384;0,023233518;251;33;225;15;21,62835249;5645;261;40,14814815;5420;135;BISE16_a
BISE16_b;Mons;T4;4;2;A-;-;3344;401;0,02084788;263;33;236;15;27,10132159;6152;227;43,83703704;5918;135;BISE16_b
BISE16_c;Mons;T4;4;3;A-;-;3057;381;0,021114795;246;29;213;20;21,95686275;5599;255;33,375;5340;160;BISE16_c
BISE16_d;Mons;T4;4;4;A-;-;4049;404;0,024869174;253;28;221;20;22,47637795;5709;254;46,30833333;5557;120;BISE16_d
BISE17_a;Lus;T1;1;1;C+;+;2199;378;0,015430929;261;25;234;18;20,10294118;4101;204;44,4;3996;90;BISE17_a
BISE17_b;Lus;T1;1;2;C+;+;2796;381;0,01931206;264;23;245;12;21,72988506;3781;174;77,1875;3705;48;BISE17_b
BISE17_c;Lus;T1;1;3;C+;+;2731;378;0,019164105;253;24;234;11;23,42045455;4122;176;51,77922078;3987;77;BISE17_c
BISE17_d;Lus;T1;1;4;C+;+;2839;392;0,018522626;272;24;248;15;20,10655738;4906;244;39,39166667;4727;120;BISE17_d
BISE18_a;Lus;T1;2;1;C+;+;3118;397;0,019833092;282;19;252;21;33,96774194;6318;186;32,11111111;6069;189;BISE18_a
BISE18_b;Lus;T1;2;2;C+;+;3979;386;0,02677478;277;13;249;15;29,11764706;5940;204;47,89166667;5747;120;BISE18_b
BISE18_c;Lus;T1;2;3;C+;+;3345;373;0,024107066;252;26;226;18;20,95910781;5638;269;37,79166667;5442;144;BISE18_c
BISE18_d;Lus;T1;2;4;C+;+;3491;391;0,022893304;270;21;241;21;38,11666667;6861;180;31,07142857;6525;210;BISE18_d
BISE19_a;Lus;T1;3;1;C+;+;2714;409;0,016263963;280;26;249;24;17,49442379;4706;269;26,8452381;4510;168;BISE19_a
BISE19_b;Lus;T1;3;2;C+;+;3343;443;0,017073021;303;30;276;20;18,58028169;6596;355;35,43333333;6378;180;BISE19_b
BISE19_c;Lus;T1;3;3;C+;+;4465;449;0,022197144;302;31;273;23;14,58748222;10255;703;35,7173913;9858;276;BISE19_c
BISE19_d;Lus;T1;3;4;C+;+;3598;435;0,019058213;295;26;262;25;33,70168067;8021;238;19,0475;7619;400;BISE19_d
BISE20_a;Lus;T1;4;1;C+;+;3133;438;0,016368348;310;31;276;26;25,1417004;6210;247;58,47115385;6081;104;BISE20_a
BISE20_b;Lus;T1;4;2;C+;+;3509;412;0,020722604;281;32;251;22;23,64765101;7047;298;34,37878788;6807;198;BISE20_b
BISE20_c;Lus;T1;4;3;C+;+;3344;437;0,017550858;299;34;271;21;30,05701754;6853;228;161,9761905;6803;42;BISE20_c
BISE20_d;Lus;T1;4;4;C+;+;3372;430;0,018279395;292;32;265;18;21,16477273;7450;352;36,25757576;7179;198;BISE20_d
BISE21_a;Lus;T2;1;1;C-;-;3852;398;0,024378821;267;14;241;21;22,21016949;6552;295;29,95238095;6290;210;BISE21_a
BISE21_b;Lus;T2;1;2;C-;-;3709;363;0,0282255;246;13;217;21;22,75;5278;232;26,46031746;5001;189;BISE21_b
BISE21_c;Lus;T2;1;3;C-;-;2581;347;0,021497226;236;17;215;14;17,03603604;3782;222;43,8452381;3683;84;BISE21_c
BISE21_d;Lus;T2;1;4;C-;-;3320;423;0,018598815;291;16;262;25;26,34562212;5717;217;31,61142857;5532;175;BISE21_d
BISE22_a;Lus;T2;2;1;C-;-;4364;390;0,028765408;256;12;233;17;34,06315789;6472;190;46,34558824;6303;136;BISE22_a
BISE22_b;Lus;T2;2;2;C-;-;4374;416;0,025335959;279;16;249;21;26,80478088;6728;251;34,34920635;6492;189;BISE22_b
BISE22_c;Lus;T2;2;3;C-;-;4331;395;0,027828825;275;11;246;22;41,22699387;6720;163;29,12727273;6408;220;BISE22_c
BISE22_d;Lus;T2;2;4;C-;-;3998;395;0,025689134;271;17;241;23;32,67977528;5817;178;26,89371981;5567;207;BISE22_d
BISE23_a;Lus;T2;3;1;C-;-;3324;395;0,02135835;269;18;248;15;20,03246753;6170;308;44,31111111;5982;135;BISE23_a
BISE23_b;Lus;T2;3;2;C-;-;3344;377;0,023590496;258;13;235;19;24,11637931;5595;232;35,65789474;5420;152;BISE23_b
BISE23_c;Lus;T2;3;3;C-;-;3181;391;0,020860384;262;16;243;14;29,5990099;5979;202;52,125;5838;112;BISE23_c
BISE23_d;Lus;T2;3;4;C-;-;3826;421;0,021637824;295;14;269;20;25,13675214;5882;234;31,49444444;5669;180;BISE23_d
BISE24_a;Lus;T2;4;1;C-;-;3216;395;0,020664396;263;21;226;27;17,64547677;7217;409;20,92592593;6780;324;BISE24_a
BISE24_b;Lus;T2;4;2;C-;-;3993;409;0,02392852;275;20;239;25;20,06818182;5298;264;22,37333333;5034;225;BISE24_b
BISE24_c;Lus;T2;4;3;C-;-;1956;316;0,019650392;214;11;183;19;36,13872832;6252;173;34,3625731;5876;171;BISE24_c
BISE24_d;Lus;T2;4;4;C-;-;3600;364;0,027245482;230;18;192;27;16,77506775;6190;369;16,42735043;5766;351;BISE24_d
BISE25_a;Lus;T3;1;1;E+;+;3257;376;0,023099291;239;17;218;15;19,02189781;5212;274;37,27407407;5032;135;BISE25_a
BISE25_b;Lus;T3;1;2;E+;+;4217;381;0,029126951;251;20;224;20;16,55437666;6241;377;43,30714286;6063;140;BISE25_b
BISE25_c;Lus;T3;1;3;E+;+;2178;298;0,024608501;201;12;176;19;17,4375;3906;224;24,36184211;3703;152;BISE25_c
BISE25_d;Lus;T3;1;4;E+;+;3749;362;0,02868796;228;21;200;21;12,90047393;5444;422;27,5978836;5216;189;BISE25_d
BISE26_a;Lus;T3;2;1;E+;+;3263;367;0,024292372;237;17;211;21;17,63822526;5168;293;19,32936508;4871;252;BISE26_a
BISE26_b;Lus;T3;2;2;E+;+;3235;368;0,023953027;256;17;229;20;20,01606426;4984;249;40,225;4827;120;BISE26_b
BISE26_c;Lus;T3;2;3;E+;+;2135;302;0,023486832;194;15;172;17;17,0125523;4066;239;46,57647059;3959;85;BISE26_c
BISE26_d;Lus;T3;2;4;E+;+;1976;303;0,021594212;201;13;182;14;21,07142857;2655;126;36,61428571;2563;70;BISE26_d
BISE27_a;Lus;T3;3;1;E+;+;2554;355;0,020323068;243;11;212;23;20,36407767;4195;206;35,1826087;4046;115;BISE27_a
BISE27_b;Lus;T3;3;2;E+;+;3009;371;0,021920303;247;12;212;25;29,03448276;4210;145;32,352;4044;125;BISE27_b
BISE27_c;Lus;T3;3;3;E+;+;2497;330;0,022998987;213;13;183;25;17,52525253;3470;198;21,98666667;3298;150;BISE27_c
BISE27_d;Lus;T3;3;4;E+;+;3346;343;0,02852369;227;11;200;22;27;4860;180;20,96363636;4612;220;BISE27_d
BISE28_a;Lus;T3;4;1;E+;+;2758;334;0,024797252;210;20;179;25;10,87032419;4359;401;20,665;4133;200;BISE28_a
BISE28_b;Lus;T3;4;2;E+;+;2849;350;0,023323782;222;21;191;26;11,08716707;4579;413;13,49358974;4210;312;BISE28_b
BISE28_c;Lus;T3;4;3;E+;+;3091;345;0,026044826;223;21;195;18;12,60056657;4448;353;39,7962963;4298;108;BISE28_c
BISE28_d;Lus;T3;4;4;E+;+;2737;335;0,024461525;213;16;186;21;16,20895522;4344;268;19,54285714;4104;210;BISE28_d
BISE29_a;Lus;T4;1;1;E-;-;3893;374;0,02790641;250;12;231;17;26,82236842;8154;304;35,66063348;7881;221;BISE29_a
BISE29_b;Lus;T4;1;2;E-;-;4366;430;0,023667805;287;14;260;21;22,70072993;6220;274;31,76719577;6004;189;BISE29_b
BISE29_c;Lus;T4;1;3;E-;-;3201;392;0,020884441;261;17;235;22;19,51960784;3982;204;21,5;3784;176;BISE29_c
BISE29_d;Lus;T4;1;4;E-;-;3723;404;0,022866865;259;15;229;25;19,67126437;8557;435;21,42666667;8035;375;BISE29_d
