"LECA_id";"Site";"Parcelle";"Echantillon";"Repet";"Couples";"0";"1";"2"
"BISE39_b";"Lus";"TL3";3;2;"D-";12;4,62086615258296;2,88972690127425
"BISE39_c";"Lus";"TL3";3;3;"D-";12;4,45913096413548;2,7167253216408
"BISE39_d";"Lus";"TL3";3;4;"D-";13;4,51132153949127;2,76144729906653
"BISE40_a";"Lus";"TL3";4;1;"D-";12;4,2066267266278;2,61146496815287
"BISE40_b";"Lus";"TL3";4;2;"D-";12;4,50693183425597;2,78149351122245
"BISE40_c";"Lus";"TL3";4;3;"D-";14;4,54504419332814;2,78269136408243
"BISE40_d";"Lus";"TL3";4;4;"D-";13;4,34631498462772;2,65553645961208
"BISE41_a";"ThLaq";"Th11";1;1;"G-";12;5,03829736603576;3,25876932901519
"BISE41_b";"ThLaq";"Th11";1;2;"G-";12;5,31656311427021;3,46229896261227
"BISE41_c";"ThLaq";"Th11";1;3;"G-";13;5,63155696441762;3,72316443695354
"BISE41_d";"ThLaq";"Th11";1;4;"G-";12;5,35055155967676;3,5951662306884
"BISE42_a";"ThLaq";"Th11";2;1;"G-";13;4,69735737670069;3,08967183173275
"BISE42_b";"ThLaq";"Th11";2;2;"G-";12;5,11253456038184;3,39226124460875
"BISE42_c";"ThLaq";"Th11";2;3;"G-";13;5,27680443776458;3,48335828630658
"BISE42_d";"ThLaq";"Th11";2;4;"G-";13;5,25286637370414;3,46221218245948
"BISE43_a";"ThLaq";"Th11";3;1;"G-";14;5,37930764291862;3,57460160498992
"BISE43_b";"ThLaq";"Th11";3;2;"G-";14;5,38762865827735;3,49953920139413
"BISE43_c";"ThLaq";"Th11";3;3;"G-";14;5,07937990341357;3,34538415723645
"BISE43_d";"ThLaq";"Th11";3;4;"G-";13;5,17030926935751;3,39564453486222
"BISE44_a";"ThLaq";"Th11";4;1;"G-";14;5,26877066160174;3,38277441276407
"BISE44_b";"ThLaq";"Th11";4;2;"G-";14;5,73896494877647;3,81341533861157
"BISE44_c";"ThLaq";"Th11";4;3;"G-";13;5,31263275332652;3,5115667311412
"BISE44_d";"ThLaq";"Th11";4;4;"G-";13;5,35902417194316;3,56701226279743
"BISE45_a";"ThLaq";"Th13";1;1;"G+";13;4,84077761534818;3,13955900498936
"BISE45_b";"ThLaq";"Th13";1;2;"G+";13;4,64699284037333;2,98469219537469
"BISE45_c";"ThLaq";"Th13";1;3;"G+";13;4,97853376998725;3,2021830309768
"BISE45_d";"ThLaq";"Th13";1;4;"G+";13;4,78013973923511;2,99762788151572
"BISE46_a";"ThLaq";"Th13";2;1;"G+";13;5,19428571773426;3,4358936593269
"BISE46_b";"ThLaq";"Th13";2;2;"G+";13;5,53818239666217;3,68823751279703
"BISE46_c";"ThLaq";"Th13";2;3;"G+";12;5,09972044518885;3,4082931533269
"BISE46_d";"ThLaq";"Th13";2;4;"G+";13;5,36914171571348;3,50724751851268
"BISE47_a";"ThLaq";"Th13";3;1;"G+";13;4,92329506589663;3,19442909251686
"BISE47_b";"ThLaq";"Th13";3;2;"G+";13;5,29528479509473;3,48882032529616
"BISE47_c";"ThLaq";"Th13";3;3;"G+";14;5,58278356711382;3,82674588112331
"BISE47_d";"ThLaq";"Th13";3;4;"G+";14;5,52448077261513;3,64540250631736
"BISE48_a";"ThLaq";"Th13";4;1;"G+";13;5,69012922595205;3,77068119891008
"BISE48_b";"ThLaq";"Th13";4;2;"G+";13;5,44752958575263;3,6056522880392
