"LECA_id";"Site";"Parcelle";"Echantillon";"Repet";"Couples";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16"
"BISE21_a";"Lus";"T2";1;1;"C-";5;51;13;21;1;7;5;0;3;5;0;3;0;0;238;43
"BISE21_b";"Lus";"T2";1;2;"C-";5;45;11;20;2;8;5;0;3;3;0;1;0;0;215;42
"BISE21_c";"Lus";"T2";1;3;"C-";3;32;15;23;1;5;5;1;3;4;1;1;0;0;211;39
"BISE21_d";"Lus";"T2";1;4;"C-";3;51;14;25;4;6;5;0;5;6;0;1;0;0;257;43
"BISE22_a";"Lus";"T2";2;1;"C-";4;44;10;23;2;11;4;0;5;4;0;2;0;0;230;48
"BISE22_b";"Lus";"T2";2;2;"C-";3;44;12;27;2;11;3;0;8;3;0;3;0;0;246;51
"BISE22_c";"Lus";"T2";2;3;"C-";4;44;9;25;2;10;3;0;5;2;0;3;0;0;243;42
"BISE22_d";"Lus";"T2";2;4;"C-";4;42;12;27;1;9;2;0;7;3;0;2;1;0;237;45
"BISE23_a";"Lus";"T2";3;1;"C-";2;37;16;26;0;9;5;0;5;5;0;3;0;0;243;41
"BISE23_b";"Lus";"T2";3;2;"C-";3;39;13;21;1;8;4;0;9;5;0;2;1;0;232;36
"BISE23_c";"Lus";"T2";3;3;"C-";2;39;12;23;2;8;4;0;6;4;0;2;1;0;240;45
"BISE23_d";"Lus";"T2";3;4;"C-";3;43;16;18;2;8;4;0;3;4;0;2;1;0;264;50
"BISE24_a";"Lus";"T2";4;1;"C-";2;50;16;26;1;9;3;0;4;6;0;4;0;0;223;48
"BISE24_b";"Lus";"T2";4;2;"C-";3;48;15;25;4;10;3;0;3;4;0;2;0;0;236;53
"BISE24_c";"Lus";"T2";4;3;"C-";1;33;9;23;2;7;3;2;2;7;0;2;0;0;179;43
"BISE24_d";"Lus";"T2";4;4;"C-";4;49;14;24;3;9;2;0;4;5;1;3;0;0;190;53
"BISE25_a";"Lus";"T3";1;1;"E+";4;38;14;20;1;7;5;0;4;4;0;3;0;0;215;58
"BISE25_b";"Lus";"T3";1;2;"E+";4;40;17;22;1;11;4;0;4;4;0;2;0;0;221;48
"BISE25_c";"Lus";"T3";1;3;"E+";3;36;11;16;1;6;3;0;2;5;0;3;0;0;175;34
"BISE25_d";"Lus";"T3";1;4;"E+";4;41;16;22;3;10;3;0;5;5;0;2;0;0;198;50
"BISE26_a";"Lus";"T3";2;1;"E+";3;41;15;20;0;8;5;0;9;3;1;3;0;0;208;48
"BISE26_b";"Lus";"T3";2;2;"E+";2;39;15;18;0;8;4;0;6;4;1;2;1;0;226;39
"BISE26_c";"Lus";"T3";2;3;"E+";2;38;13;16;1;7;4;0;5;6;0;2;0;0;169;36
"BISE26_d";"Lus";"T3";2;4;"E+";3;33;11;18;0;5;4;0;4;3;0;2;0;0;179;38
"BISE27_a";"Lus";"T3";3;1;"E+";3;46;13;21;0;6;5;0;3;5;0;2;0;0;209;39
"BISE27_b";"Lus";"T3";3;2;"E+";3;54;11;22;0;8;6;0;3;3;0;2;0;0;208;48
"BISE27_c";"Lus";"T3";3;3;"E+";3;48;11;21;1;7;6;0;4;2;0;2;0;0;182;40
"BISE27_d";"Lus";"T3";3;4;"E+";3;46;9;22;1;9;5;0;3;3;1;2;1;0;198;37
"BISE28_a";"Lus";"T3";4;1;"E+";3;47;16;18;1;7;5;0;9;5;1;2;0;0;177;40
"BISE28_b";"Lus";"T3";4;2;"E+";4;47;17;18;2;6;5;0;8;3;0;4;0;0;190;43
"BISE28_c";"Lus";"T3";4;3;"E+";3;38;15;20;1;9;4;0;7;4;0;2;0;0;194;45
"BISE28_d";"Lus";"T3";4;4;"E+";3;45;13;18;3;7;6;0;6;3;0;2;1;0;184;41
"BISE29_a";"Lus";"T4";1;1;"E-";5;36;11;22;3;8;4;1;7;5;0;2;0;0;228;39
"BISE29_b";"Lus";"T4";1;2;"E-";4;46;14;25;3;9;4;0;7;4;0;2;0;0;257;52
"BISE29_c";"Lus";"T4";1;3;"E-";4;42;16;31;2;6;5;0;5;2;0;2;0;0;231;43
"BISE29_d";"Lus";"T4";1;4;"E-";3;44;16;25;3;8;4;1;21;3;1;3;0;0;225;44
"BISE30_a";"Lus";"T4";2;1;"E-";3;45;10;21;0;8;3;0;6;2;1;2;0;0;194;39
"BISE30_b";"Lus";"T4";2;2;"E-";3;41;9;13;1;8;3;0;7;1;0;2;1;0;207;32
"BISE30_c";"Lus";"T4";2;3;"E-";2;31;9;14;2;8;4;0;7;6;0;2;0;0;197;30
"BISE30_d";"Lus";"T4";2;4;"E-";2;37;10;13;1;7;4;0;6;5;0;2;1;0;198;40
"BISE31_a";"Lus";"T4";3;1;"E-";3;35;16;27;1;8;5;0;11;4;0;2;0;0;229;41
"BISE31_b";"Lus";"T4";3;2;"E-";5;39;11;21;4;6;5;0;6;3;0;2;0;0;202;45
"BISE31_c";"Lus";"T4";3;3;"E-";3;39;19;23;2;9;5;0;6;4;1;2;0;0;209;46
"BISE31_d";"Lus";"T4";3;4;"E-";4;44;14;21;2;9;6;0;6;3;0;2;0;0;230;50
"BISE32_a";"Lus";"T4";4;1;"E-";3;43;16;26;2;7;4;1;8;4;0;2;0;0;253;43
"BISE32_b";"Lus";"T4";4;2;"E-";4;39;13;24;4;8;3;0;7;4;0;1;0;0;225;39
"BISE32_c";"Lus";"T4";4;3;"E-";3;41;15;25;3;6;3;0;7;4;0;2;0;0;238;40
"BISE32_d";"Lus";"T4";4;4;"E-";3;52;12;26;1;9;3;0;7;4;0;2;0;0;251;41
"BISE33_a";"Lus";"TL6";1;1;"D+";1;32;11;15;1;7;4;0;3;2;1;2;0;0;199;29
"BISE33_b";"Lus";"TL6";1;2;"D+";2;32;12;23;2;7;2;0;10;5;0;2;0;0;208;40
"BISE33_c";"Lus";"TL6";1;3;"D+";2;36;13;16;2;6;4;1;8;4;0;2;1;0;211;42
"BISE33_d";"Lus";"TL6";1;4;"D+";3;37;17;13;2;8;3;0;9;6;0;2;0;0;199;43
"BISE34_a";"Lus";"TL6";2;1;"D+";2;35;15;22;3;5;4;0;6;4;0;2;0;0;245;46
"BISE34_b";"Lus";"TL6";2;2;"D+";3;30;16;20;1;6;3;0;3;1;1;2;0;0;206;33
"BISE34_c";"Lus";"TL6";2;3;"D+";2;40;15;21;1;8;3;1;5;4;0;2;1;0;227;36
"BISE34_d";"Lus";"TL6";2;4;"D+";3;40;11;22;1;6;4;0;5;4;0;2;1;0;250;45
"BISE35_a";"Lus";"TL6";3;1;"D+";2;40;13;23;1;8;3;0;5;7;0;1;0;0;210;38
"BISE35_b";"Lus";"TL6";3;2;"D+";2;48;12;23;0;7;3;0;5;4;0;1;0;0;240;39
"BISE35_c";"Lus";"TL6";3;3;"D+";3;41;12;26;2;7;3;0;3;4;0;1;0;0;191;42
"BISE35_d";"Lus";"TL6";3;4;"D+";2;37;13;21;1;8;3;0;5;2;0;1;1;0;193;38
"BISE36_a";"Lus";"TL6";4;1;"D+";3;39;14;20;1;8;4;0;4;4;0;2;0;0;195;46
"BISE36_b";"Lus";"TL6";4;2;"D+";2;47;13;23;1;10;5;1;7;6;0;3;0;0;222;43
"BISE36_c";"Lus";"TL6";4;3;"D+";2;40;10;21;1;8;4;0;8;4;0;2;0;0;203;44
"BISE36_d";"Lus";"TL6";4;4;"D+";3;47;16;24;0;11;5;0;6;3;0;2;0;0;209;44
"BISE37_a";"Lus";"TL3";1;1;"D-";2;44;11;24;3;7;3;0;12;6;0;1;0;0;267;47
"BISE37_b";"Lus";"TL3";1;2;"D-";3;50;12;22;2;8;3;0;9;7;1;1;0;0;238;42
"BISE37_c";"Lus";"TL3";1;3;"D-";2;48;15;23;2;9;4;0;9;6;0;1;0;0;236;40
"BISE37_d";"Lus";"TL3";1;4;"D-";3;53;14;21;2;6;4;0;7;5;0;1;0;0;254;39
"BISE38_a";"Lus";"TL3";2;1;"D-";4;63;12;25;2;11;4;0;8;5;0;4;0;0;226;57
"BISE38_b";"Lus";"TL3";2;2;"D-";5;56;12;26;3;11;3;0;8;4;0;1;0;0;244;49
"BISE38_c";"Lus";"TL3";2;3;"D-";5;57;14;28;2;11;4;0;5;6;0;2;0;0;262;51
"BISE38_d";"Lus";"TL3";2;4;"D-";4;54;16;21;4;7;4;0;6;6;0;2;0;0;229;47
"BISE39_a";"Lus";"TL3";3;1;"D-";4;52;14;26;3;8;4;0;9;5;1;2;0;0;220;47
"BISE39_b";"Lus";"TL3";3;2;"D-";3;57;15;27;5;9;4;0;10;4;0;3;0;0;234;52
"BISE39_c";"Lus";"TL3";3;3;"D-";5;53;14;27;4;9;5;0;9;8;0;1;0;0;251;48
"BISE39_d";"Lus";"TL3";3;4;"D-";4;45;12;27;3;7;4;0;9;5;0;3;1;0;230;53
"BISE40_a";"Lus";"TL3";4;1;"D-";6;51;14;25;3;7;3;0;8;2;0;2;0;0;242;47
"BISE40_b";"Lus";"TL3";4;2;"D-";5;56;13;21;2;10;4;0;14;5;0;4;0;0;248;55
"BISE40_c";"Lus";"TL3";4;3;"D-";3;53;17;21;3;11;4;1;11;5;0;1;1;0;242;53
"BISE40_d";"Lus";"TL3";4;4;"D-";4;52;12;21;3;10;5;0;7;5;0;2;0;1;243;51
"BISE41_a";"ThLaq";"Th11";1;1;"G-";3;40;13;30;3;14;3;0;9;6;0;2;0;0;192;63
"BISE41_b";"ThLaq";"Th11";1;2;"G-";4;51;17;35;4;15;5;0;9;10;0;3;0;0;217;76
"BISE41_c";"ThLaq";"Th11";1;3;"G-";3;42;14;35;4;12;3;0;10;9;0;3;1;0;173;67
"BISE41_d";"ThLaq";"Th11";1;4;"G-";5;51;17;34;4;12;2;0;7;7;0;3;0;0;188;71
"BISE42_a";"ThLaq";"Th11";2;1;"G-";1;57;14;27;4;15;3;1;8;5;0;3;0;0;238;82
"BISE42_b";"ThLaq";"Th11";2;2;"G-";1;50;11;28;5;12;3;0;11;4;0;3;0;0;182;61
"BISE42_c";"ThLaq";"Th11";2;3;"G-";3;54;13;29;5;17;3;1;9;7;0;3;0;0;204;78
"BISE42_d";"ThLaq";"Th11";2;4;"G-";2;54;11;31;3;14;4;0;14;7;0;3;1;0;202;72
"BISE43_a";"ThLaq";"Th11";3;1;"G-";4;80;18;32;5;17;6;0;13;7;1;4;1;0;248;95
"BISE43_b";"ThLaq";"Th11";3;2;"G-";2;64;15;29;5;16;6;0;9;7;2;4;1;0;219;78
"BISE43_c";"ThLaq";"Th11";3;3;"G-";3;71;13;25;4;16;6;0;9;6;1;3;1;0;232;84
"BISE43_d";"ThLaq";"Th11";3;4;"G-";3;73;21;29;4;17;6;0;12;9;1;5;0;0;264;98
"BISE44_a";"ThLaq";"Th11";4;1;"G-";5;45;14;29;4;13;4;0;8;7;1;3;2;0;209;84
"BISE44_b";"ThLaq";"Th11";4;2;"G-";3;38;11;25;3;11;4;1;8;8;0;3;1;0;148;71
"BISE44_c";"ThLaq";"Th11";4;3;"G-";4;40;12;26;4;11;3;1;10;6;0;2;0;0;174;76
"BISE44_d";"ThLaq";"Th11";4;4;"G-";4;43;10;23;4;12;4;0;8;7;0;2;1;0;168;77
"BISE45_a";"ThLaq";"Th13";1;1;"G+";2;54;10;24;4;14;4;0;6;8;0;3;1;0;216;73
"BISE45_b";"ThLaq";"Th13";1;2;"G+";1;39;8;22;4;10;3;0;5;6;1;3;0;0;190;64
"BISE45_c";"ThLaq";"Th13";1;3;"G+";1;44;12;18;4;15;3;1;5;6;0;4;0;0;182;61
"BISE45_d";"ThLaq";"Th13";1;4;"G+";1;51;15;21;4;17;5;0;8;8;0;4;1;0;239;70
"BISE46_a";"ThLaq";"Th13";2;1;"G+";4;67;17;24;1;11;5;0;12;8;0;3;1;0;209;70
"BISE46_b";"ThLaq";"Th13";2;2;"G+";5;53;10;22;2;11;5;0;13;7;0;3;1;0;169;69
"BISE46_c";"ThLaq";"Th13";2;3;"G+";4;56;13;20;0;11;5;0;8;8;0;2;1;0;182;66
"BISE46_d";"ThLaq";"Th13";2;4;"G+";4;59;16;26;3;12;5;0;10;8;0;4;1;0;202;72
"BISE47_a";"ThLaq";"Th13";3;1;"G+";1;36;11;25;2;14;4;0;6;3;0;2;2;0;174;60
"BISE47_b";"ThLaq";"Th13";3;2;"G+";3;57;16;28;3;16;3;0;8;7;0;4;2;0;205;76
"BISE47_c";"ThLaq";"Th13";3;3;"G+";2;52;10;34;2;13;3;1;9;6;0;3;2;0;164;72
"BISE47_d";"ThLaq";"Th13";3;4;"G+";3;50;13;27;3;15;4;1;5;7;0;3;2;0;174;69
"BISE48_a";"ThLaq";"Th13";4;1;"G+";4;44;10;28;3;16;5;0;10;7;0;4;1;0;168;72
"BISE48_b";"ThLaq";"Th13";4;2;"G+";4;46;12;28;4;14;4;0;11;8;0;3;1;0;188;83
"BISE48_c";"ThLaq";"Th13";4;3;"G+";3;43;11;25;3;15;5;0;7;7;0;4;0;0;118;78
"BISE48_d";"ThLaq";"Th13";4;4;"G+";2;42;12;26;4;16;6;0;9;8;0;2;1;0;134;76
"BISE49_a";"ThLaq";"Th18";1;1;"F-";5;53;9;35;5;12;4;0;9;7;1;5;1;0;181;83
"BISE49_b";"ThLaq";"Th18";1;2;"F-";6;61;9;31;5;17;6;0;9;7;2;4;1;0;174;81
"BISE49_c";"ThLaq";"Th18";1;3;"F-";5;56;13;32;4;15;5;0;9;10;2;4;1;0;180;72
"BISE49_d";"ThLaq";"Th18";1;4;"F-";4;51;12;28;5;12;5;0;13;6;2;4;1;0;184;74
"BISE50_a";"ThLaq";"Th18";2;1;"F-";3;50;5;26;5;13;3;1;9;6;0;2;0;0;140;62
"BISE50_b";"ThLaq";"Th18";2;2;"F-";3;42;6;30;3;11;4;1;12;7;0;3;2;0;189;61
"BISE50_c";"ThLaq";"Th18";2;3;"F-";4;48;7;28;4;12;4;0;9;9;0;2;0;0;194;68
"BISE50_d";"ThLaq";"Th18";2;4;"F-";3;45;9;26;4;11;5;0;9;7;0;3;0;0;158;59
"BISE51_a";"ThLaq";"Th18";3;1;"F-";6;61;14;29;4;11;5;1;14;10;1;4;1;0;218;82
"BISE51_b";"ThLaq";"Th18";3;2;"F-";4;53;12;27;4;16;4;1;12;6;0;3;1;0;168;77
"BISE51_c";"ThLaq";"Th18";3;3;"F-";6;58;12;25;5;13;4;2;10;9;1;3;1;0;190;77
"BISE51_d";"ThLaq";"Th18";3;4;"F-";7;63;15;29;3;12;6;1;14;9;0;4;1;0;190;76
"BISE52_a";"ThLaq";"Th18";4;1;"F-";5;60;11;26;3;15;5;1;9;7;1;3;2;0;201;85
"BISE52_b";"ThLaq";"Th18";4;2;"F-";5;71;13;25;4;15;5;1;9;7;2;2;2;0;208;90
"BISE52_c";"ThLaq";"Th18";4;3;"F-";5;62;13;32;5;13;5;1;12;9;1;4;1;0;205;84
"BISE52_d";"ThLaq";"Th18";4;4;"F-";6;57;12;25;3;14;3;0;13;7;1;3;2;0;198;85
"BISE53_a";"ThLaq";"Th20";1;1;"F+";3;48;13;26;3;10;6;0;6;5;1;3;1;0;204;66
"BISE53_b";"ThLaq";"Th20";1;2;"F+";3;38;10;21;3;12;6;0;6;6;1;2;2;0;186;56
"BISE53_c";"ThLaq";"Th20";1;3;"F+";4;41;6;20;2;11;3;0;7;5;1;2;1;0;186;55
"BISE53_d";"ThLaq";"Th20";1;4;"F+";4;42;16;19;2;12;6;0;7;7;1;2;2;0;229;71
"BISE54_a";"ThLaq";"Th20";2;1;"F+";4;40;15;20;2;12;4;0;7;6;1;2;2;0;183;72
"BISE54_b";"ThLaq";"Th20";2;2;"F+";5;50;11;22;2;10;5;0;10;6;0;4;2;0;200;76
"BISE54_c";"ThLaq";"Th20";2;3;"F+";5;63;16;26;4;14;4;1;10;8;1;5;2;0;179;78
