"";"keys";"names";"trophic_group"
"209";"2164";"Cercomonadidae";5
"210";"3210222";"Cercomonas";6
"211";"3210222C1";"Cercomonas alexieffi";6
"212";"3210222C2";"Cercomonas braziliensis";6
"213";"3210222C3";"Cercomonas celer";6
"214";"3210222C4";"Cercomonas fastiga";6
"215";"3210222C5";"Cercomonas media";6
"216";"3210222C6";"Cercomonas parambigua";6
"217";"3210222C7";"Cercomonas parincurva";6
"218";"3210222C8";"Cercomonas radiata";6
"219";"3210222C9";"Cercomonas rapida";6
"220";"3210222C10";"Cercomonas vacuolata";6
"221";"7554783";"Cetraspora nodosa";3
"222";"3464398";"Chaetosphaeria ciliata";3
"223";"7575131";"Chamaedrilus";15
"224";"9430745";"Chamaedrilus aff. glandulosus A SM-2014";15
"225";"8922158";"Chamaedrilus aff. sphagnetorum C SM-2014";15
"226";"2594455";"Cheilymenia stercorea";3
"227";"3228826";"Chitinophaga";17
"228";"8005235";"Chitinophaga oryziterrae";17
"229";"3228831";"Chitinophaga pinensis";17
"230";"4903787";"Chitinophagaceae";17
"231";"126091324";"Chitinophagales";17
"232";"8816";"Chlamydomonadaceae";20
"233";"8223403";"Chlamydomonadales";9
"234";"5271044";"Chlamydomonas";20
"235";"5271044C1";"Chlamydomonas philotes";20
"236";"5271221";"Chlamydomonas reinhardtii";20
"237";"3194385C1";"Chlamydomyxa labyrinthuloides";9
"238";"3235907";"Chlamydophryidae";5
"239";"2638467";"Chlorella";20
"240";"5270951";"Chlorella emersonii";20
"241";"4852";"Chlorellaceae";20
"242";"3201179";"Chlorellidium";20
"243";"3201179C1";"Chlorellidium tetrabotrys";20
"244";"5271881";"Chlorococcum";20
"245";"84";"Chloroflexi";17
"246";"3229052";"Chloroflexus";17
"247";"329";"Chlorophyceae";9
"248";"36";"Chlorophyta";2
"249";"9765899";"Choanoflagellida";6
"250";"4445230";"Choleva angustata";19
"251";"3220588";"Chondromyces";17
"252";"667";"Chromatiales";17
"253";"2538825";"Chromosera";3
"254";"7131";"Chromulinaceae";9
"255";"3228687";"Chryseobacterium";17
"256";"104372713";"Chthoniobacter flavus";17
"257";"2124312";"Chthonius";20
"258";"7571";"Chytridiaceae";3
"259";"3384941";"Chytridium polysiphoniae";3
"260";"2518208";"Cladosporium";8
"261";"2283346";"Clarkus";10
"262";"7617598";"Claroideoglomus claroideum";3
"263";"3225355";"Clavibacter";17
"264";"3226206";"Clostridium";17
"265";"2642071";"Coccomyxa";9
"266";"2559238";"Cochlonema euryblastum";3
"267";"8065748";"Codosiga";6
"268";"2638548C1";"Coelastrella saipanensis";20
"269";"546";"Collembola";19
"270";"8136143";"Colpoda";11
"271";"7559248";"Colpoda inflata";14
"272";"8229102";"Colpodea";19
"273";"7773411";"Colpodida";11
"274";"5439";"Comamonadaceae";17
"275";"3220118";"Comamonas";17
"276";"3223545";"Conexibacter";17
"277";"2559647";"Conidiobolus coronatus";3
"278";"2559645";"Conidiobolus firmipilleus";3
"279";"2559630";"Conidiobolus lamprauges";3
"280";"6026760";"Conopodium majus";7
"281";"2389";"Convolvulaceae";7
"282";"3451388";"Cordyceps cylindrica";3
"283";"2560689";"Cordyceps memorabilis";3
"284";"103969122";"Corynebacteriales";17
"285";"4378507C1";"Corythion dubium";15
"286";"7455377";"Craterocolla cerasi";3
"287";"3228479";"Crocinitomix";17
"288";"2121983C1";"Crossodonthina koreana";20
"289";"2566393";"Cryphonectria parasitica";3
"290";"5467845";"Cryptococcus amylolentus";3
"291";"6634";"Cucurbitaceae";7
"292";"8246938";"Cultellothrix coemeterii";6
"293";"8084084";"Cultellothrix lionotiformis";6
"294";"3220005";"Cupriavidus";17
"295";"3220112";"Curvibacter";17
"296";"1013578";"Cylindroiulus caeruleocinctus";20
"297";"7966900";"Cyphellophora sessilis";3
"298";"7520151";"Cyrtolophosidida";11
"299";"8236668";"Cyrtolophosididae";11
"300";"3220549";"Cystobacter";17
"301";"2555962";"Cystobasidium";18
"302";"3228397";"Cytophaga";17
"303";"3228931";"Cytophaga hutchinsonii";17
"304";"3237749";"Cytophagaceae";17
"305";"2705308";"Dactylis glomerata";7
"306";"3224595";"Dactylosporangium";17
"307";"3220302";"Dechloromonas";17
"308";"6533843";"Dehalococcoides";17
"309";"3220129";"Delftia";17
"310";"338";"Deltaproteobacteria";17
