verbatimScientificName;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family
Sphingobacteriaceae;Sphingobacteriaceae;8103;EXACT;96;ACCEPTED;FAMILY;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae
Sphingomonadaceae;Sphingomonadaceae;8926;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae
Spirosomaceae;Spirosomaceae;4893582;EXACT;95;SYNONYM;FAMILY;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae
Streptomycetaceae;Streptomycetaceae;8091;EXACT;96;ACCEPTED;FAMILY;Bacteria;Actinobacteria;Actinobacteriia;Actinomycetales;Streptomycetaceae
Thecofilosea;Thecofilosea;9720891;EXACT;94;ACCEPTED;CLASS;Chromista;Cercozoa;Thecofilosea;;
Thermoactinomycetaceae;Thermoactinomycetaceae;7792;EXACT;96;ACCEPTED;FAMILY;Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae
Thermomonosporaceae;Thermomonosporaceae;3845;EXACT;96;ACCEPTED;FAMILY;Bacteria;Actinobacteria;Actinobacteriia;Actinomycetales;Thermomonosporaceae
Tremellomycetes;Tremellomycetes;149;EXACT;96;ACCEPTED;CLASS;Fungi;Basidiomycota;Tremellomycetes;;
Ustilaginomycetes;Ustilaginomycetes;148;EXACT;96;ACCEPTED;CLASS;Fungi;Basidiomycota;Ustilaginomycetes;;
Wallemiomycetes;Wallemiomycetes;269;EXACT;96;ACCEPTED;CLASS;Fungi;Basidiomycota;Wallemiomycetes;;
Xanthobacteraceae;Xanthobacteraceae;4891652;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae
Xiphinematobacteraceae;Xiphinematobacteriaceae;9546;FUZZY;84;ACCEPTED;FAMILY;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Xiphinematobacteriaceae
0319-6G20;Bacteria;3_01;EDITED;100;ACCEPTED;KINGDOM;Bacteria;;;;
67-14;Bacteria;3_02;EDITED;100;ACCEPTED;KINGDOM;Bacteria;;;;
JG30-KF-AS9;Bacteria;3_03;EDITED;100;ACCEPTED;KINGDOM;Bacteria;;;;
JG30-KF-CM45;Bacteria;3_04;EDITED;100;ACCEPTED;KINGDOM;Bacteria;;;;
OPS17;Bacteria;3_05;EDITED;100;ACCEPTED;KINGDOM;Bacteria;;;;
P3OB-42;Bacteria;3_06;EDITED;100;ACCEPTED;KINGDOM;Bacteria;;;;
SC-I-84;Bacteria;3_07;EDITED;100;ACCEPTED;KINGDOM;Bacteria;;;;
Aquaspirillaceae;Betaproteobacteria;362_01;EDITED;;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Aquaspirillaceae
Babeliaceae;Bacteria;3_08;EDITED;;ACCEPTED;FAMILY;Bacteria;Dependentiae;Babeliae;Babeliales;Babeliaceae
Devosiaceae;Rhizobiales;1221_01;EDITED;;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae
