consumer_gbif_key,consumer_rank,consumer_name,interaction_type,resource_name,resource_gbif_key,resource_rank,reference,remark
8225326,SPECIES,Condylostoma terricola,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8380259,SPECIES,Coriplites terricola,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7759386,SPECIES,Cyrtobymena muscorum,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7893724,SPECIES,Cyrtohymena candens,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7893724,SPECIES,Cyrtohymena candens,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7640810,SPECIES,Cyrtohymena primicirrata,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7968774,SPECIES,Cyrtohymena tetracirrata,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7646652,SPECIES,Dileptus americanus,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7907352,SPECIES,Dileptus conspicuus,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7689024,SPECIES,Dileptus margaritifer,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7542108,SPECIES,Drepanomonas revoluta,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8367055,SPECIES,Gonostomum affine,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7846057,SPECIES,Gonostomum kuehnelti,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7620672,GENUS,Halteria grandin,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8256548,SPECIES,Hemiamphisiella granulifera,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8227189,SPECIES,Hemiamphisiella quadrinucleata,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7477764,SPECIES,Hemiamphisiella terricola,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7515415,SPECIES,Hemisincirra wenzeli,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7770058,SPECIES,Holosticha bergeri,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7876308,SPECIES,Holosticha distyla,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7406837,SPECIES,Holosticha manca,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7879294,SPECIES,Holosticha multistilata,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7858582,SPECIES,Holosticha stueberi,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7727825,SPECIES,Jaroschia sumptuosa,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7802550,SPECIES,Kahliella simplex,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7408216,SPECIES,Keronopsis dieckmanni,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7580283,SPECIES,Kuehneltiella terricola,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7566514,SPECIES,Lamtostyla abdita,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7712450,SPECIES,Lamtostyla australis,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7549436,SPECIES,Lamtostyla granulifera,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8429924,SPECIES,Lamtostyla islandica,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7378359,SPECIES,Lamtostyla kirkeniensis,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8178931,SPECIES,Leptopharynx costatus,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7550194,SPECIES,Metopus es,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7583500,SPECIES,Notohymena antarctica,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8016841,SPECIES,Notohymena rubescens,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8106520,SPECIES,Odontochlamys alpestris,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7625409,SPECIES,Onychodromopsis flexilis,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7892382,SPECIES,Orthoamphisiella franzi,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7545388,SPECIES,Orthoamphisiella grelli,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8307873,SPECIES,Oxytricha auripunctata,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8320870,SPECIES,Oxytricha gigantea,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8187489,SPECIES,Oxytricha granulifera,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8187489,SPECIES,Oxytricha granulifera,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8296495,SPECIES,Oxytricha lanceolata,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8282405,SPECIES,Oxytricha longigranulosa,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7514676,SPECIES,Oxytricha nauplia,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7687728,SPECIES,Oxytricha opisthomuscorum,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8311950,SPECIES,Oxytricha ottowi,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8111179,SPECIES,Oxytricha setigera,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7551954,SPECIES,Paraholosticha muscicola,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7454029,SPECIES,Parakahliella haideri,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7621887,SPECIES,Paramphisiella caudata,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7505865,SPECIES,Paraurostyla granulifera,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8038938,SPECIES,Pattersoniella vitiphila,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7376082,SPECIES,Pelagotrichidium tisiae,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8144973,SPECIES,Plagiocampa caudata,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7510368,SPECIES,Plagiocampa difficilis,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7637408,SPECIES,Platyophrya similis,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8058651,SPECIES,Platyophrya spumacola,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8072867,SPECIES,Platyophrya vorax,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7773649,SPECIES,Pleuroplites australis,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8322605,SPECIES,Protospathidium muscicola,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7538897,SPECIES,Pseudouroleptus procerus,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7776664,SPECIES,Rhopalophrya elegans,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
6147376,SPECIES,Spathidium scalpriforme,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7426047,SPECIES,Steinia platystoma,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7815322,SPECIES,Sterkiella histriomuscorum,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8412563,SPECIES,Sterkiella thompsoni,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7894445,SPECIES,Stylonychia pustulata,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8316594,SPECIES,Stylonychia stylomuscorum,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7560112,SPECIES,Tachysoma granulifera,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7965484,SPECIES,Telostomatella ferroi,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7439614,SPECIES,Tricoronella pulchra,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8199022,SPECIES,Uroleptus lepisma,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7907886,SPECIES,Uroleptus notabilis,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8283897,SPECIES,Uronema nigricans,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8196207,SPECIES,Urosoma cienkowskii,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
7623590,SPECIES,Urosoma karinae,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
8298972,SPECIES,Urosomoida antarctica,eats,Apusozoa,103062177,KINGDOM,Foissner 1998,
5262297,SPECIES,Phoma herbarum,parasiteOf,Arachis hypogaea,5353770,SPECIES,FungalDataBase,
2130185,SPECIES,Tetranychus urticae,parasiteOf,Arachis hypogaea,5353770,SPECIES,https://www.cabi.org/isc/datasheet/53366,
3451388,SPECIES,Cordyceps cylindrica,parasiteOf,Araneae,1496,ORDER,http://cordyceps.us/species/cordyceps/cylindrica,
1419844,GENUS,Forficula,eats,Araneae,1496,ORDER,albouy & Caussanel (1990) Faune de France 75.,
4080,FAMILY,Geophilidae,eats,Araneae,1496,ORDER,0.1111/oik.04885,
5540,FAMILY,Lithobiidae,eats,Araneae,1496,ORDER,0.1111/oik.04885,
9357423,GENUS,Lithobius,eats,Araneae,1496,ORDER,Lewis (2006) The biology of centipedes,
1247492,GENUS,Notiophilus,eats,Araneae,1496,ORDER,betsi,
9583,FAMILY,Theridiidae,eats,Araneae,1496,ORDER,,
8181547,SPECIES,Apoamphisiella tihanyiensis,eats,Arcellinida,760,ORDER,Foissner 1998,
8307655,SPECIES,Australocirrus oscitans,eats,Arcellinida,760,ORDER,Foissner 1998,
7644213,SPECIES,Australothrix alwinae,eats,Arcellinida,760,ORDER,Foissner 1998,
7520435,SPECIES,Australothrix australis,eats,Arcellinida,760,ORDER,Foissner 1998,
