"";"keys";"names";"trophic_group"
"553";"3464398";"Chaetosphaeria ciliata";2
"554";"3481158";"Holwaya mucida";2
"555";"3511";"Phytoseiidae";4
"556";"3565";"Enchytraeidae";10
"557";"3683164";"Hesperelaea palmeri";9
"558";"3811";"Acidobacteriaceae";15
"559";"3833";"Geodermatophilaceae";15
"560";"3834";"Intrasporangiaceae";15
"561";"3836";"Micrococcaceae";15
"562";"3837";"Microbacteriaceae";15
"563";"3838";"Micromonosporaceae";15
"564";"3841";"Pseudonocardiaceae";15
"565";"3848";"Acidimicrobiaceae";15
"566";"3925";"Pinaceae";9
"567";"4093";"Mortierellaceae";2
"568";"4134";"Tuberaceae";2
"569";"4279461";"Oxyrrhynchium hians";4
"570";"4281960C1";"Romanomermis sichuanensis";16
"571";"4307714";"Enchytraeus christenseni";16
"572";"4308843";"Agriotes sordidus";4
"573";"4348568";"Eumonhystera";6
"574";"4349368";"Isolaimium multistriatum";16
"575";"4378164";"Thaumatomastigidae";6
"576";"4378322";"Apusomonadidae";6
"577";"4378437";"Nolandella";16
"578";"4378507C1";"Corythion dubium";16
"579";"4387";"Thripidae";4
"580";"4405791";"Ecumenicus";1
"581";"4406135";"Veigaia";4
"582";"4409812";"Enchytraeus norvegicus";16
"583";"4409817";"Enchytraeus bulbosus";16
"584";"4409880";"Marionina filiformis";16
"585";"4409889";"Marionina cf. minutissima PDW-2010";16
"586";"4409891";"Marionina clavata";16
"587";"4409927";"Achaeta cf. bohemica PDW-2010";16
"588";"4410245";"Eudrilus eugeniae";4
"589";"4410498";"Satchellius mammalis";4
"590";"4410653";"Lumbricus castaneus";4
"591";"4410657";"Lumbricus terrestris";4
"592";"4410938";"Allolobophora chlorotica";4
"593";"4424949";"Aphodius johnsoni";4
"594";"4438583";"Tachyporus hypnorum";5
"595";"4445230";"Choleva angustata";5
"596";"4476667";"Trechus quadristriatus";4
"597";"4520829";"Peyerimhoffia alpina";4
"598";"4537148";"Sminthurinus bimaculatus";4
"599";"4538324";"Tetrodontophora bielanensis";4
"600";"4548736";"Veigaia nemorensis";4
"601";"4549547";"Uropoda orbicularis";4
"602";"4554365";"Longidorus raskii";16
"603";"4554383";"Longidorus vinearum";16
"604";"4554435";"Xiphinema diversicaudatum";16
"605";"4555808";"Metateratocephalus";6
"606";"4555937";"Neopsilenchus magnidens";16
"607";"4555966";"Boleodorus volutus";16
"608";"4556103";"Tylenchus arcuatus";16
"609";"4556193";"Merlinius brevidens";16
"610";"4556197";"Merlinius joctus";16
"611";"4556202";"Merlinius cf. microdorus TSH-2005";16
"612";"4556265";"Amplimerlinius icarus";16
"613";"4556321";"Pratylenchoides ritteri";7
"614";"4556368";"Rotylenchulus borealis";16
"615";"4556370";"Rotylenchulus reniformis";16
"616";"4556520";"Helicotylenchus varicaudatus";16
"617";"4559485";"Seinura demani";16
"618";"4572757";"Singulisphaera";15
"619";"4575424";"Luteolibacter";15
"620";"4645";"Funariaceae";4
"621";"4653212";"Oribatida";10
"622";"4653827";"Stigmalychus";4
"623";"4663886";"Blaberolaelaps";4
"624";"4671";"Pottiaceae";4
"625";"4676";"Geraniaceae";9
"626";"4688";"Betulaceae";9
"627";"4707";"Planococcaceae";15
"628";"4721";"Gemmatimonadaceae";15
"629";"4723";"Caulobacteraceae";15
"630";"4726";"Methylocystaceae";15
"631";"4728";"Acetobacteraceae";15
"632";"4729";"Rhodobacteraceae";15
"633";"4730";"Rhodospirillaceae";15
"634";"4812533";"Fridericia bisetosa";16
"635";"4812535";"Fridericia galba";16
"636";"4852";"Chlorellaceae";4
"637";"4876";"Polyangiaceae";15
"638";"4884890";"Luedemannella";15
"639";"4886632";"Mucilaginibacter";15
"640";"4886653";"Capsellina";16
"641";"4886727";"Longilinea";15
"642";"4887124";"Edaphobacter";15
"643";"4887298";"Terriglobus";15
"644";"4888232";"Geoalkalibacter";15
"645";"4888636";"Segetibacter";15
"646";"4888700";"Lishizhenia";15
"647";"4888729";"Pseudolabrys";15
"648";"4889775";"Arenimonas";15
"649";"4890869";"Humibacter";15
"650";"4891451";"Caenimonas";15
"651";"4891819";"Perlucidibaca";15
"652";"4892105";"Byssovorax";15
"653";"4892213C1";"Apusomonas proboscidea";16
"654";"4893086";"Leptomyxa";16
"655";"4893086C1";"Leptomyxa reticulata";10
"656";"4893097";"Flavisolibacter";15
"657";"4895670";"Undibacterium";15
"658";"4896482";"Heteromita";16
"659";"4898692";"Bodomorpha";16
"660";"4899";"Enterobacteriaceae";15
"661";"4899951";"Poterioochromonas";3
"662";"4899951C1";"Poterioochromonas malhamensis";3
"663";"4899951C2";"Poterioochromonas stipitata";3
"664";"4900166";"Rhogostoma";16
"665";"4900166C1";"Rhogostoma schuessleri";16
"666";"4900657";"Ktedonobacter";15
"667";"4900802";"Heteromitidae";6
"668";"4901371";"Demequina";15
"669";"4901672";"Erythrobacteraceae";15
"670";"4901674";"Altererythrobacter";15
"671";"4901805";"Haliea";15
"672";"4902158";"Moraxella osloensis";15
"673";"4903400";"Bellilinea";15
"674";"4903787";"Chitinophagaceae";15
"675";"4906759";"Sphenoderia";16
"676";"4912196";"Eocercomonas";16
"677";"4921124";"Plasmodiophoridae";16
"678";"5023058";"Notiophilus rufipes";4
"679";"5166886";"Isotoma viridis";4
"680";"5167040";"Tullbergia yosii";4
"681";"5167064";"Sminthurus viridis";4
"682";"5237438";"Dioszegia crocea";2
"683";"5241275";"Pluteus petasatus";2
"684";"5243715";"Campanella subdendrophora";2
"685";"5245040";"Serpula incrassata";2
"686";"5249037";"Stephanospora caroticolor";2
"687";"5249473";"Sphaerobolus stellatus";2
"688";"5249953";"Waitea circinata";2
"689";"5250615";"Absidia glauca";2
"690";"5251089";"Glomus invermaium";2
"691";"5258926";"Orbicula parietina";2
"692";"5258938";"Stephensia shanorii";2
"693";"5259396";"Boudiera acanthospora";2
"694";"5262297";"Phoma herbarum";2
"695";"5265849";"Hantzschia amphioxys";4
"696";"5266190";"Nitzschia pusilla";4
"697";"5270951";"Chlorella emersonii";4
"698";"5271044";"Chlamydomonas";4
"699";"5271044C1";"Chlamydomonas philotes";4
"700";"5271221";"Chlamydomonas reinhardtii";4
"701";"5271881";"Chlorococcum";4
"702";"5280516";"Barbula unguiculata";4
"703";"5284884";"Picea abies";9
"704";"5290052";"Zea mays";9
"705";"5386";"Fabaceae";9
"706";"5394473";"Taraxacum kok-saghyz";9
"707";"5424088";"Pythium monospermum";12
"708";"5425542";"Trinema enchelys";16
"709";"5427444";"Nitrospira marina";15
"710";"5433907";"Pythium rostratifingens";16
"711";"5436536";"Vampyrella pendula";16
"712";"5438";"Burkholderiaceae";15
"713";"5439";"Comamonadaceae";15
"714";"5467845";"Cryptococcus amylolentus";2
"715";"5499811";"Genea fragrans";2
"716";"5607";"Pseudomonadaceae";15
"717";"5611";"Xanthomonadaceae";15
"718";"5613";"Opitutaceae";15
"719";"5730694";"Euglypha rotunda";16
"720";"5730696";"Euglypha tuberculata";16
"721";"5730700";"Trinema lineare";16
"722";"5739693";"Buchholzia fallax";16
"723";"5776914";"Nygolaimus cf. brachyuris JH-2004";16
"724";"5777105";"Paratylenchus cf. neoamblicephalus";16
"725";"5777119";"Paratylenchus similis";16
"726";"5889471";"Diplogasteroides magnus";16
"727";"5899695";"Paracercomonas";16
"728";"5899695C1";"Paracercomonas astra";16
"729";"5899695C2";"Paracercomonas compacta";16
"730";"5899695C3";"Paracercomonas filosa";16
"731";"5899695C4";"Paracercomonas paralaciniaegerens";16
"732";"5899723";"Massisteria marina";16
"733";"5900469";"Cenarchaeum symbiosum";3
"734";"5905178";"Ilumatobacter";15
"735";"5907331";"Luteimonas aestuarii";15
"736";"5912003";"Sphingobium olei";15
"737";"5917830";"Fibrella";15
"738";"5953400";"Psora";2
"739";"5955050";"Sistotrema";2
"740";"5980";"Trichodoridae";16
"741";"5984";"Qudsianematidae";16
"742";"5986";"Aporcelaimidae";16
"743";"6026760";"Conopodium majus";9
"744";"6064";"Rhagidiidae";4
"745";"6083";"Parasitidae";4
"746";"6103";"Lumbricidae";4
"747";"6108754";"Iamia";15
"748";"6123596";"Diaphanoeca spiralifurca";16
"749";"6320394";"Trinema";16
"750";"6390748";"Persicaria";9
"751";"6391433";"Fallopia multiflora";9
"752";"6453386";"Nitrosopumilaceae";3
"753";"6453387";"Nitrosopumilus";3
"754";"6463";"Tylenchidae";16
"755";"6465";"Hoplolaimidae";16
"756";"6509";"Anatonchidae";16
"757";"6533843";"Dehalococcoides";15
"758";"6533858";"Elusimicrobium";15
"759";"6562811";"Moorella";15
"760";"6587163";"Preussia";2
"761";"6634";"Cucurbitaceae";9
"762";"6636";"Caricaceae";9
"763";"6639";"Urticaceae";9
"764";"6657";"Sapindaceae";9
"765";"6664";"Salicaceae";9
"766";"6683";"Melastomataceae";9
"767";"6716";"Aquifoliaceae";9
"768";"6720";"Apiaceae";9
"769";"7023889";"Merliniidae";16
"770";"7026301";"Plectus aquatilis";16
"771";"7131";"Chromulinaceae";3
"772";"7212";"Neanuridae";4
"773";"7214";"Isotomidae";4
"774";"7215";"Hypogastruridae";4
"775";"7216";"Entomobryidae";4
"776";"7235427";"Paratylenchus";7
"777";"7239018";"Apiotrichum";2
"778";"7351754";"Vorticella";16
"779";"7352338";"Prorodon";16
"780";"7362059";"Septoglomus";2
"781";"7365025";"Pseudouroleptus";16
"782";"7369804";"Fridericia christeri";16
"783";"7381412";"Bicosoeca petiolata";16
"784";"7385619";"Blepharisma hyalinum";1
"785";"7388975";"Alternaria";2
"786";"7396624";"Pseudovorticella";16
"787";"7400549";"Arenimonas daechungensis";15
"788";"7410447";"Dileptus";16
"789";"7410456";"Catenulispora graminis";15
"790";"7417472";"Scutellospora alterata";2
"791";"7423747";"Holostichidae";16
"792";"7434304";"Zoothamnium";16
"793";"7441738";"Fridericia sohlenii";16
"794";"7455377";"Craterocolla cerasi";2
"795";"7457456";"Obertrumia georgiana";10
"796";"7460";"Oribatulidae";4
"797";"7462160";"Aciditerrimonas";15
"798";"7467984";"Oxytricha";16
"799";"7468873";"Pseudocyrtolophosis alpestris";6
"800";"7477764";"Hemiamphisiella terricola";5
"801";"7501881";"Georgfuchsia";15
"802";"7506466";"Ferrithrix";15
"803";"7507829";"Luticola permuticopsis";4
"804";"7512659";"Novosphingobium";15
"805";"7513382";"Zavarzinella";15
"806";"7518643";"Maryna ovata";6
"807";"7550989";"Sinomonas";15
"808";"7554783";"Cetraspora nodosa";2
"809";"7559248";"Colpoda inflata";6
"810";"7566235";"Geobacter anodireducens";15
"811";"7566978C1";"Pseudoplatynematum denticulatum";16
"812";"7571";"Chytridiaceae";2
"813";"7571206";"Monilicaryon monilatum";16
"814";"7575131";"Chamaedrilus";16
"815";"7575660";"Euplotidae";16
"816";"7576647";"Lumbricus centralis";4
"817";"7578300";"Funneliformis mosseae";2
"818";"7578709";"Ignavibacterium";15
"819";"7592743";"Ferruginibacter";15
"820";"7595878";"Arcuospathidium namibiense";16
"821";"7600333";"Hantzschia";4
"822";"7602988";"Tetrahymenidae";16
"823";"7606064";"Picea";9
"824";"7606454";"Lacibacter";15
"825";"7609484";"Phycisphaera mikurensis";15
"826";"7617598";"Claroideoglomus claroideum";2
"827";"7618454";"Fridericia magna";16
"828";"7618777";"Bardeliella pulchra";6
"829";"7622";"Gigasporaceae";2
"830";"7623";"Diversisporaceae";2
